vx,vy,vz,speed_frac,v_yaw
0,0,0,1,0
0,0,0.14992183227891112,1,0
0,0,0.14755153581014716,1,0
0,0,0.14356180985368136,1,0
0,0,0.13902820394446583,1,0
0,0,0.13437766369310322,1,0
0,0,0.12978674404188842,1,0
0,0,0.12530717959718246,1,0
0,0,0.12097625540843801,1,0
0,0,0.11678082546839536,1,0
0,0,0.1127473064138046,1,0
0,0,0.10884013495392922,1,0
0,0,0.10505256968766899,1,0
0,0,0.10141761005412042,1,0
0,0,0.0979039263240431,1,0
0,0,0.09449554330873633,1,0
0,0,0.09122364379990833,1,0
0,0,0.08806798010072947,1,0
0,0,0.08500302297968848,1,0
0,0,0.08204457342454524,1,0
0,0,0.07919686029807765,1,0
0,0,0.07645043483412389,1,0
0,0,0.07378923076402016,1,0
0,0,0.07120621753513534,1,0
0,0,0.06870435013929566,1,0
0,0,0.06628294485872899,1,0
0,0,0.06393030155970036,1,0
0,0,0.06164877314055117,1,0
0,0,0.059441721760727484,1,0
0,0,0.05730921382952597,1,0
0,0,0.05525014459749944,1,0
0,0,0.05327460590949251,1,0
0,0,0.05136197862567776,1,0
0,0,0.049510074301659046,1,0
0,0,0.04773651247501398,1,0
0,0,0.046031144723114314,1,0
0,0,0.04438426891247499,1,0
0,0,0.042785305858047185,1,0
0,0,0.04123865063043064,1,0
0,0,0.03973848766825527,1,0
0,0,0.03829052013861278,1,0
0,0,0.03689393203835484,1,0
0,0,0.03554623255710787,1,0
0,0,0.03424670998725615,1,0
0,0,0.03299911352306212,1,0
0,0,0.0317892759135594,1,0
0,0,0.030617282091886577,1,0
0,0,0.02949141004997463,1,0
0,0,0.028411200686105975,1,0
0,0,0.027356870912605857,1,0
0,0,0.026328533521911834,1,0
0,0,0.025333987881931475,1,0
0,0,0.024378292975964277,1,0
0,0,0.023457217530872487,1,0
0,0,0.022570039578048873,1,0
0,0,0.02171056583466735,1,0
0,0,0.020878085239522726,1,0
0,0,0.020079321369884995,1,0
0,0,0.019310484321136245,1,0
0,0,0.018589223072262795,1,0
0,0,0.017889589417958873,1,0
0,0,0.017200846382277424,1,0
0,0,0.01652579232238116,1,0
0,0,0.015874470149223108,1,0
0,0,0.01524834415141152,1,0
0,0,0.014638889021271972,1,0
0,0,0.014061347993107542,1,0
0,0,0.013499488103586976,1,0
0,0,0.012946438752738432,1,0
0,0,0.01241237684174512,1,0
0,0,0.011902925587753466,1,0
0,0,0.011411341541618159,1,0
0,0,0.010930338156666108,1,0
0,0,0.01047131041054078,1,0
0,0,0.010028649735889461,1,0
0,0,0.009594194298853942,1,0
0,0,0.009172852511186658,1,0
0,0,0.008765027869184538,1,0
0,0,0.008373892367696867,1,0
0,0,0.007993934613955422,1,0
0,0,0.007632047395152941,1,0
0,0,0.007281524750154422,1,0
0,0,0.006939797387944535,1,0
0,0,0.006613598520967989,1,0
0,0,0.006296656401460543,1,0
0,0,0.005989242095057079,1,0
0,0,0.0056905516410646895,1,0
0,0,0.005401475433248704,1,0
0,0,0.005123600464924993,1,0
0,0,0.004863727012564878,1,0
0,0,0.004614547866504559,1,0
0,0,0.004373203498580669,1,0
0,0,0.004147494414786346,1,0
0,0,0.003929837529632163,1,0
0,0,0.0037124497870468787,1,0
0,0,0.0035023612307633067,1,0
0,0,0.0032937436129640285,1,0
0,0,0.003097841160683734,1,0
0,0,0.002911845482882758,1,0
0,0,0.002735490957682829,1,0
0,0,0.0025668752037078524,1,0
0,0,0.002396772023261884,1,0
0,0,0.0022354590595825563,1,0
0,0,0.0020737981253968196,1,0
0,0,0.0019229321389482856,1,0
0,0,0.0017795635316147362,1,0
0,0,0.0016478194672613355,1,0
0,0,0.0015141298171998385,1,0
0,0,0.0013970411475714428,1,0
0,0,0.0012891202619377817,1,0
0,0,0.0011710190740383264,1,0
0,0,0.00104933211773095,1,0
0,0,0.0009292766204054836,1,0
0,0,0.00082689239654965,1,0
0,0,0.0007359660977268034,1,0
0,0,0.0006509469423411907,1,0
0,0,0.0005659659571913278,1,0
0,0,0.0004780775538362758,1,0
0,0,0.00040455477797701755,1,0
0,0,0.00032734938604594976,1,0
0,0,0.00025349323712697824,1,0
0,0,0.000172486438416386,1,0
0,0,9.308779396066669e-05,1,0
0,0,8.797027433060656e-06,1,0
0,0,-7.905138898017805e-05,1,0
0,0,-0.00017008472611612646,1,0
0,0,-0.0002591199490465379,1,0
0,0,-0.00034873518823724803,1,0
0,0,-0.00043712281183705404,1,0
0,0,-0.0005270880377008513,1,0
0,0,-0.0006126772355697918,1,0
0,0,-0.0006892279610606344,1,0
0,0,-0.0007715738884648826,1,0
0,0,-0.0008598030017353819,1,0
0,0,-0.0009391024384062807,1,0
0,0,-0.0010224164095198884,1,0
0,0,-0.0010873440291344627,1,0
0,0,-0.001142781293464068,1,0
0,0,-0.001191148942964071,1,0
0,0,-0.0012401697612757778,1,0
0,0,-0.0012872834068058392,1,0
0,0,-0.001326151261071551,1,0
0,0,-0.0013682203689704964,1,0
0,0,-0.0014102393825879411,1,0
0,0,-0.0014461762045772653,1,0
0,0,-0.0014848919878532874,1,0
0,0,-0.0015266639276659832,1,0
0,0,-0.0015611477565843912,1,0
0,0,-0.0015829259883419211,1,0
0,0,-0.0016052809921034972,1,0
0,0,-0.0016315046138805078,1,0
0,0,-0.0016590187266633527,1,0
0,0,-0.0016896055274166488,1,0
0,0,-0.001715769694514535,1,0
0,0,-0.0017402163255516023,1,0
0,0,-0.001769214984017775,1,0
0,0,-0.001798930375154828,1,0
0,0,-0.0018255261689033575,1,0
0,0,-0.0018516878298351358,1,0
0,0,-0.0018748228172985604,1,0
0,0,-0.0018997246826113479,1,0
0,0,-0.0019210616531342706,1,0
0,0,-0.0019416527060522326,1,0
0,0,-0.0019653464676763766,1,0
0,0,-0.0019860124567580018,1,0
0,0,-0.0020078309803535643,1,0
0,0,-0.0020289538476025437,1,0
0,0,-0.0020510920836449564,1,0
0,0,-0.002071327726880734,1,0
0,0,-0.00209212107346457,1,0
0,0,-0.0021079086045345807,1,0
0,0,-0.002111513432533907,1,0
0,0,-0.0021222613961693892,1,0
0,0,-0.0021377977239258605,1,0
0,0,-0.00214807966668229,1,0
0,0,-0.0021625076304223056,1,0
0,0,-0.0021784519757289678,1,0
0,0,-0.002195232159571625,1,0
0,0,-0.0022111918453782686,1,0
0,0,-0.0022208752775303986,1,0
0,0,-0.0022177595453313215,1,0
0,0,-0.002216456801579114,1,0
0,0,-0.002219053995277276,1,0
0,0,-0.002214320859866281,1,0
0,0,-0.0022172220244430774,1,0
0,0,-0.002227716618260711,1,0
0,0,-0.0022316126313025597,1,0
0,0,-0.0022434149332633546,1,0
0,0,-0.002258848841647898,1,0
0,0,-0.0022618395520069834,1,0
0,0,-0.0022395296874516135,1,0
0,0,-0.002205416559144635,1,0
0,0,-0.002177559202505286,1,0
0,0,-0.0021707462988130866,1,0
0,0,-0.0021712663422988054,1,0
0,0,-0.002177966405439935,1,0
0,0,-0.0021913689417269455,1,0
0,0,-0.0022066072017128957,1,0
0,0,-0.0022199407880126865,1,0
0,0,-0.002230004302511579,1,0
0,0,-0.002226453159169528,1,0
0,0,-0.0022190841210703582,1,0
0,0,-0.002208888135411091,1,0
0,0,-0.002182989884436659,1,0
0,0,-0.0021738093240315504,1,0
0,0,-0.0021765617555711825,1,0
0,0,-0.0021884694866749488,1,0
0,0,-0.0022063958069450385,1,0
0,0,-0.002214510214640031,1,0
0,0,-0.0022045598810007117,1,0
0,0,-0.0021914610531001966,1,0
0,0,-0.0021822603988854716,1,0
0,0,-0.0021777069951284256,1,0
0,0,-0.0021710797091273326,1,0
0,0,-0.00217579834372994,1,0
0,0,-0.0021908513377466576,1,0
0,0,-0.002203424122422193,1,0
0,0,-0.002218484493418882,1,0
0,0,-0.002237268193913733,1,0
0,0,-0.002243889882463934,1,0
0,0,-0.002251225958853076,1,0
0,0,-0.0022634052017891926,1,0
0,0,-0.0022784355155504032,1,0
0,0,-0.0022883822657697728,1,0
0,0,-0.0022989115172594166,1,0
0,0,-0.0023029127792940085,1,0
0,0,-0.002310399367093263,1,0
0,0,-0.0023193513040363767,1,0
0,0,-0.002322544842018659,1,0
0,0,-0.002330797139963703,1,0
0,0,-0.0023404284700458966,1,0
0,0,-0.0023496219051236666,1,0
0,0,-0.002358505608417827,1,0
0,0,-0.0023701105762687358,1,0
0,0,-0.0023789641714813126,1,0
0,0,-0.002388213884071344,1,0
0,0,-0.0023930507024903513,1,0
0,0,-0.002400088932166089,1,0
0,0,-0.002405283751198306,1,0
0,0,-0.0024038046268221036,1,0
0,0,-0.002403867245609148,1,0
0,0,-0.002411529630627851,1,0
0,0,-0.002421746868652652,1,0
0,0,-0.002422330746922885,1,0
0,0,-0.0024269213377506316,1,0
0,0,-0.002434879971061066,1,0
0,0,-0.0024353049401120708,1,0
0,0,-0.002438834131309242,1,0
0,0,-0.002430356627172281,1,0
0,0,-0.0024200681629240606,1,0
0,0,-0.002408110477241099,1,0
0,0,-0.002404142809620591,1,0
0,0,-0.00240489407799227,1,0
0,0,-0.002411827781389597,1,0
0,0,-0.002412467819618569,1,0
0,0,-0.0024164211510990796,1,0
0,0,-0.0024175108822342417,1,0
0,0,-0.0024136419932932474,1,0
0,0,-0.0024123224654109543,1,0
0,0,-0.0024176777080497924,1,0
0,0,-0.0024214855856474204,1,0
0,0,-0.0024107034114493886,1,0
0,0,-0.0023981208600498682,1,0
0,0,-0.0023889485163612334,1,0
0,0,-0.0023868118454138942,1,0
0,0,-0.0023886833694602982,1,0
0,0,-0.002382429544545206,1,0
0,0,-0.0023822625778370243,1,0
0,0,-0.0023938393031885385,1,0
0,0,-0.002408985434836808,1,0
0,0,-0.002424117474421339,1,0
0,0,-0.002435294019102807,1,0
0,0,-0.0024352164393838804,1,0
0,0,-0.0024333810842157577,1,0
0,0,-0.002430220376698544,1,0
